0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:14 -0700] "GET /collaborationFrontEnd/C_job/jobs.html HTTP/1.1" 200 1868
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:14 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:14 -0700] "GET /collaborationControllers/getAllJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:14 -0700] "GET /collaborationFrontEnd/images/jobs.jpg HTTP/1.1" 200 220525
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:21 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:21 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:23 -0700] "GET /collaborationFrontEnd/C_blog/blogs.html HTTP/1.1" 200 2886
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:23 -0700] "GET /collaborationControllers/admin_getAllBlogs HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:23 -0700] "GET /collaborationControllers/admin_getAllBlogs HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:23 -0700] "GET /collaborationFrontEnd/images/main-bg.jpg HTTP/1.1" 200 600086
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:23 -0700] "GET /collaborationFrontEnd/images/white.jpg HTTP/1.1" 200 55745
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:31 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:31 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/C_user/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/lib/css/default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationControllers/viewMyJobs HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/images/signup.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/lib/img/overlay.png HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/lib/img/bg_infobox.gif HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:28:35 -0700] "GET /collaborationFrontEnd/lib/img/h1.png HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [20/Oct/2017:22:29:04 -0700] "POST /collaborationControllers/add_User HTTP/1.1" 404 1060
